(0.8576891211522529, 1, 1)
(0.8576891211522529, 2, 1)
(0.8576891211522529, 3, 1)
(0.8576891211522529, 4, 1)
(0.8576891211522529, 5, 1)
(0.8576891211522529, 6, 1)
(0.857689121152253, 7, 1)
(0.857689121152253, 8, 1)
(0.857689121152253, 9, 1)
(0.857689121152253, 10, 1)
(0.8576891211522532, 11, 1)
(0.8576891211522532, 12, 1)
(0.8576891211522532, 13, 1)
(0.8576891211522532, 14, 1)
(0.8576891211522532, 15, 1)
(0.8576891211522532, 16, 1)
(0.8576891211522532, 17, 1)
(0.8576891211522532, 18, 1)
(0.8576891211522532, 19, 1)
(0.857689121152253, 20, 1)
(0.857689121152253, 21, 1)
(0.8576891211522529, 22, 1)
(0.8576891211522529, 23, 1)
(0.8576891211522528, 24, 1)
(0.8576891211522528, 25, 1)
(0.8576891211522527, 26, 1)
(0.8576891211522527, 27, 1)
(0.8576891211522526, 28, 1)
(0.8576891211522526, 29, 1)
(0.8576891211522526, 30, 1)
(0.8576891211522525, 31, 1)
(0.8576891211522525, 32, 1)
(0.8576891211522525, 33, 1)
(0.8576891211522524, 34, 1)
(0.8576891211522524, 35, 1)
(0.8576891211522524, 36, 1)
(0.8576891211522524, 37, 1)
(0.8576891211522524, 38, 1)
(0.8576891211522525, 39, 1)
(0.8576891211522526, 40, 1)
(0.889571162520624, 1, 2)
(0.889571162520624, 2, 2)
(0.8895711625206241, 3, 2)
(0.889571162520624, 4, 2)
(0.889571162520624, 5, 2)
(0.8895711625206238, 6, 2)
(0.8895711625206238, 7, 2)
(0.8895711625206238, 8, 2)
(0.8895711625206238, 9, 2)
(0.889571162520624, 10, 2)
(0.889571162520624, 11, 2)
(0.8895711625206241, 12, 2)
(0.8895711625206241, 13, 2)
(0.8895711625206241, 14, 2)
(0.8895711625206242, 15, 2)
(0.8895711625206242, 16, 2)
(0.8895711625206242, 17, 2)
(0.8895711625206242, 18, 2)
(0.8895711625206243, 19, 2)
(0.8895711625206243, 20, 2)
(0.8895711625206243, 21, 2)
(0.8895711625206243, 22, 2)
(0.8895711625206243, 23, 2)
(0.8895711625206243, 24, 2)
(0.8895711625206243, 25, 2)
(0.8895711625206244, 26, 2)
(0.8895711625206244, 27, 2)
(0.8895711625206244, 28, 2)
(0.8895711625206244, 29, 2)
(0.8895711625206244, 30, 2)
(0.8895711625206244, 31, 2)
(0.8895711625206244, 32, 2)
(0.8895711625206244, 33, 2)
(0.8895711625206244, 34, 2)
(0.8895711625206244, 35, 2)
(0.8895711625206244, 36, 2)
(0.8895711625206244, 37, 2)
(0.8895711625206244, 38, 2)
(0.8895711625206244, 39, 2)
